,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
28,000858.SZ,20210104,292.0,300.0,291.99,298.05,291.85,6.2,2.1244,234278.22,6977115.208
27,000858.SZ,20210105,297.2,319.98,294.5,319.98,298.05,21.93,7.3578,314606.33,9802665.755
26,000858.SZ,20210106,320.15,335.66,317.79,328.3,319.98,8.32,2.6002,313430.33,10211616.773
25,000858.SZ,20210107,328.31,330.68,317.08,330.0,328.3,1.7,0.5178,242559.48,7882443.069
24,000858.SZ,20210108,330.06,331.6,308.94,317.0,330.0,-13.0,-3.9394,378702.49,12096818.569
23,000858.SZ,20210111,316.43,316.5,299.5,301.2,317.0,-15.8,-4.9842,381952.91,11637052.715
22,000858.SZ,20210112,298.95,311.3,298.0,310.0,301.2,8.8,2.9216,230255.05,7067492.692
21,000858.SZ,20210113,311.53,313.48,302.12,305.33,310.0,-4.67,-1.5065,233653.02,7164303.594
20,000858.SZ,20210114,304.0,304.88,289.0,289.4,305.33,-15.93,-5.2173,354895.54,10426526.438
19,000858.SZ,20210115,288.0,292.29,278.07,287.7,289.4,-1.7,-0.5874,417132.51,11843762.786
18,000858.SZ,20210118,285.0,287.14,279.33,284.55,287.7,-3.15,-1.0949,272558.64,7724438.136
17,000858.SZ,20210119,287.0,290.0,280.0,281.5,284.55,-3.05,-1.0719,293888.57,8340023.174
16,000858.SZ,20210120,280.0,285.61,274.94,284.85,281.5,3.35,1.1901,264040.34,7448387.724
15,000858.SZ,20210121,285.8,298.99,285.5,296.95,284.85,12.1,4.2478,294023.9,8608576.887
14,000858.SZ,20210122,295.08,299.91,292.58,295.56,296.95,-1.39,-0.4681,249466.75,7369528.934
13,000858.SZ,20210125,295.57,316.33,293.2,315.69,295.56,20.13,6.8108,412909.4,12821666.909
12,000858.SZ,20210126,315.69,315.71,305.1,305.78,315.69,-9.91,-3.1392,241435.01,7458358.973
11,000858.SZ,20210127,302.9,302.9,287.0,292.58,305.78,-13.2,-4.3168,307938.47,9033475.506
10,000858.SZ,20210128,288.23,292.0,283.0,286.0,292.58,-6.58,-2.249,276077.57,7911157.526
9,000858.SZ,20210129,290.0,295.14,288.78,291.14,286.0,5.14,1.7972,220109.14,6431745.13
8,000858.SZ,20210201,293.01,299.87,292.29,292.29,291.14,1.15,0.395,195759.92,5790219.683
7,000858.SZ,20210202,292.0,304.33,291.9,304.12,292.29,11.83,4.0474,297492.4,8931329.219
6,000858.SZ,20210203,303.8,309.0,301.12,308.75,304.12,4.63,1.5224,224546.65,6862660.163
5,000858.SZ,20210204,306.0,316.8,305.01,313.6,308.75,4.85,1.5709,280574.6,8823190.961
4,000858.SZ,20210205,314.01,330.0,314.0,319.76,313.6,6.16,1.9643,328913.19,10624157.468
3,000858.SZ,20210208,324.0,330.5,313.8,320.0,319.76,0.24,0.0751,266529.98,8556525.644
2,000858.SZ,20210209,322.0,330.0,317.86,329.5,320.0,9.5,2.9688,224779.8,7323491.251
1,000858.SZ,20210210,333.0,345.68,332.5,342.65,329.5,13.15,3.9909,331931.63,11318193.474
0,000858.SZ,20210218,354.49,357.19,330.89,333.5,342.65,-9.15,-2.6704,343815.08,11828646.631
